Question,chat_answer,my_answer,qualitative score(out of 5)
What is included in Edens dorm?,"Edens Quad, renovated in 2016, accommodates approximately 500 students across its seven buildings. Each room is furnished with a full-size bed, bookcase, three-drawer chest, closet with a mirror, and a desk with a task chair. Beyond individual rooms, Edens offers extensive common amenities including multiple kitchens, shared common spaces, and dedicated study areas. Residents also have access to e-print services, laundry facilities, a fitness room, and a yoga/dance space. Elevators are available across the quad, and there are multiple outdoor spaces for house events. Additionally, Edens Quad is conveniently located near Pitchfork's restaurant and Bella Union coffee shop in McClendon Tower. The quad is supported by a Residence Coordinator, an Academic Guide, two Graduate Residents, and 15 Resident Assistants.","Built in the late 1960s and renovated in 2016, Edens Quad is home to approximately 500 students. Edens offers multiple kitchens and common spaces, e-print, laundry, a fitness room, and yoga space. Edens Quad has a Residence Coordinator, an Academic Guide, two Graduate Residents and 15 Resident Assistants. 

Building Features
Fitness room and yoga/dance space
Laundry
Elevators located across the quad
Rooms vary in size and shape
Multiple outdoor spaces for house events and gatherings.
Close access to Pitchfork's restaurant and Bella Union coffee shop, located in McClendon Tower.
Furniture
Full-size bed
Bookcase
Three-drawer chest
Closet with mirror
Desk and task chair
Commons, Kitchenettes & Restrooms
Common areas, kitchens, and study areas are available in each of the seven buildings that make up Edens Quad. Several buildings in Edens have ""lower"" sections (bottom two floors) and ""upper"" sections (top two floors), and each section has dedicated common areas for residents who live nearby.",5
Who is the RC of randolph,The Residence Coordinator for Randolph is Leah Benn Miller.,The residential coordinator of Randolph is Leah Benn Miller,5
Who is Brandon Fain,I'm not sure. I cannot find the information in the provided documents but if there are some matching sources I will list them below.,I'm not sure. I cannot find the information in the provided documents but if there are some matching sources I will list them below.,5
freshmen stay on west campus and others stay on east campus,First-year students live on East Campus and have automatic membership into an affiliated West Campus Quad. Sophomores then move to live in their connected West Campus Quad.,No freshmen stay on east campus and most sophomores on west,4
How do I do laundry at duke?,"Laundry machines are available in designated laundry rooms located throughout all Duke residence halls. For many students, these machines are DukeCard and coin-operated, allowing for payment using either method. However, some residence halls, particularly those for first-year students, offer free laundry services. This service is managed by Duke Vending. If you encounter a broken machine or require reimbursement due to lost money, you should contact Duke Vending directly at 919-684-8363. Additionally, your HRL Campus Office can assist you in reaching out to Duke Vending for machine repairs. For any other issues related to the laundry facilities, you can call the East Campus Office at 919-684-5320 or contact your HRL Campus Office.","DukeCard and coin-operated laundry machines are located in laundry rooms throughout the residence halls. This service is provided through Duke Vending. To report broken machines or to request reimbursement when money is lost in the machines, call Duke Vending at 684-8363. Your HRL Campus Office will be happy to help you contact Duke Vending to get machines repaired. To report any other problems with the laundry facilities please call your HRL Campus Office.",4
i need help with mailing packages," For assistance with mailing packages at Duke, Duke Campus Mail Services offers various resources. You can learn how to properly address mail and packages for on-campus students. For parcels requiring special handling or for perishable items, specific information is available. If you need to track down a missing or delayed package, guidance is provided. You can also find out how mail enters the Duke Campus Mail system and how you will be notified when your packages are ready for pick up. The Student Mailbox Center service window is available for packages that are too large to fit into a standard mailbox. Additionally, information regarding forwarding mail and parcels is also provided.","When students arrive on campus, they will receive a mailbox key in their move-in packet. All on-campus resident boxes are in the Student Mailbox Center – SMC. Mailboxes are available for incoming mail starting on August 1. Any mail that arrives before this date will be returned to the sender.

Mailbox Assignments
Mailbox Keys
Transfer or International Students
Summer & Winter Breaks
Closing Your Mailbox",2
what address do i use for this. I live in blackwell(question context is infered from the one before),"The address to use for Blackwell is 51 Brodie Gym Drive. You would also include your Box Number, Residence Hall, and Room Number on Address Line 2.","The Mailing address for blackwell is Address Line 1 - Residence Hall Street Address: 51 Brodie Gym Drive
Address Line 2 - Box Number, Residence Hall and Room #: Box #####, Blackwell ###
City, State, Zip: Durham, NC 27708",4
my ac is not working properly what should i do,"If your AC is not working properly, you should contact your HRL Campus Office to report the problem, providing as much detail as possible. During business hours (Monday-Friday, 9:00 a.m. - 5:00 p.m.), you can submit a Residential Work Order Request online. For non-emergency issues, a work order is sufficient. If it's an emergency issue during business hours, you should call the respective office in addition to filling out the Work Order Request. Specific contact numbers are available: East Campus at 919-684-5320 and West Campus at 919-684-5486. For after-hours support, you should contact your Resident Assistant (RA) or Graduate Resident (GR) on call, whose pager numbers are usually posted on the quad's exterior doors.","If it's not too bad, submit a work order but If you feel that your room is too cold or too hot  call your HRL Campus Office to report the problem. Provide as much information as possible. Remember you can contact the HRL office between 9am- 5pm on weekdays.At othertimes contact the RA-on call or the Grad-on call",5
how to submit a work order?," You can submit a work order by directing maintenance concerns to your HRL Campus Office or by submitting a Residential Work Order Request online. For emergency maintenance requests during business hours (8:30 a.m. - 5:00 p.m. Monday-Friday), contact the East, Swift, or Upperclass offices directly; outside of these hours, contact the RA on-call for your area.

Sources:

https://students.duke.edu/living/housing/contact-us/
https://students.duke.edu/living/housing/amenities-services/",Submit one on this page https://students.duke.edu/living/housing/contact-us/,5
it is 1.00 am i am locked out of my room what should i do,"If you are locked out of your room at 1:00 AM, you should contact your Resident Assistant (RA) or the RA On-Call. The RA On-Call phone number should be posted on your RA's door and on the exterior door(s) of your building.",Call your RA on call.,5
I am locked out at 10 am on monday what should i do,"if you are locked out of your room at 10 AM on a Monday, you should go to your HRL Campus Office to borrow a key, as this time falls within their operating hours (Monday - Friday 9:00 a.m. - 12:00 p.m. and 1:00 p.m. - 5:00 p.m.)",Call or go to your campus HRL office,5
where is hollows?, Hollows Quad is located on West Campus.,Its on west campus near edens dorm,4
what is the west campus housing and residential life phone number,"The phone number for the West Campus Housing and Residential Life office for emergency maintenance requests during business hours is 919-684-5486.
",919-684-5486,5
Who is the dean of  housing?,Ali Harrison is the Senior Associate Dean for Residence Life.,Dean Ali Harrison,5
what do you need to be eligible to apply for RA position,"To be eligible for an RA position, a candidate must have a 2.5 cumulative GPA and be in good standing with the University. Applicants must also be able to begin the RA/CA role in Spring 2026 or August 2026.","RAs and CAs must be full-time enrolled, degree-seeking students in good academic standing at Duke University and must maintain a cumulative 2.5 GPA while in their position. Undergraduate, graduate, and professional degree students are eligible for the RA and CA positions. 
RAs and CAs may not enroll in more than five (5) units, per semester without approval from their supervisor. 
RAs and CAs must also remain in good conduct and disciplinary standing with the university at all times. This includes adhering to all University and Housing & Residence Life policies as outlined in the Duke Community Standard Guide and Housing License. 
Must be willing to adhere to all positional conditions and expectations outlined in the position description. ",3
,,,4.4
,,,
,,,
,,,
